,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
CAT,5.589613590221461e-05,0.018840378373262877,0.0003599825323238,0.5079681274900398,-34.261807748185745,3,1.4648135760395813,-0.0005375098081600543,-1.5893578818243184,-0.031757919827655474,-0.044740682561078916,-0.01335100133712517,6.350346969756241,-0.02575546338795987
CB,0.00024051588033837198,0.011104697297821216,0.0005771084634978499,0.5338645418326693,-23.02913407663405,381,0.6897767710396251,-3.8917381822991214e-05,-2.679900525113868,-0.01779294873274696,-0.026960351265768658,0.00958613013097261,0.5127075264333979,-0.017379337621615597
CBOE,6.041929847779485e-05,0.014473558877156576,0.00050861739005975,0.5119521912350598,-33.486438523523724,4,0.4032396787623936,-0.00010293583843069761,-2.0685707610431217,-0.02206654215514883,-0.034780189064922876,0.018066164774036685,3.4671687995104237,-0.022910463589818707
CBRE,0.000776565371949823,0.014666277379402409,0.00158481124818025,0.5398406374501992,-24.68987648181088,145,1.1153620658690098,0.0003247246118049581,-1.9925597936046204,-0.02497314846538769,-0.03649015415414885,-0.003009021215925424,0.2769885188538503,0.03607173514942971
CCI,0.0006042451190057847,0.012146341011745302,0.00183145326796545,0.5637450199203188,-12.349904580113492,136,0.38496780053960766,0.0004482920442599726,-2.420132519955518,-0.02090490287892586,-0.029341207429883904,0.018606919058557582,0.24416183984465661,0.015375057657280028
CDNS,0.0011607858544920016,0.018187180477347572,0.0016676646667964,0.5637450199203188,-21.724892857395616,123,1.2610805907605709,0.0006499135286618787,-1.5856891166515725,-0.028963163032740484,-0.04025958712861385,-0.0073215453969870045,0.28495655114643875,0.054015292352077554
CDW,0.0015628403462481031,0.016440066311083242,0.00218703418161155,0.5717131474103586,-21.50671994072647,65,1.046923686429677,0.0011387244391668555,-1.7297472598745351,-0.023373327310848964,-0.03632348275655028,-0.0009835946858090597,0.17293882958784804,0.08796720738014459
CE,0.00041292181608136195,0.01604364844343558,0.00057889920577155,0.5258964143426295,-28.532721000840034,277,1.1079497834646164,-3.591617803935988e-05,-1.8441614629136607,-0.025057399797142464,-0.03814687488296587,-0.0027896555098177664,0.623359302783448,0.0006390109757240293
CF,0.00043245266803651114,0.021522417700380082,0.0015978902746265,0.5258964143426295,-30.41384701050138,70,1.209369636837461,-5.747119859509156e-05,-1.3738023182888663,-0.03257557476910818,-0.0449503391935409,-0.00579116523849222,1.0711333237294898,0.0014895292349148947
CFG,3.3814417926193495e-05,0.016292856019676193,0.00098847287394895,0.5159362549800797,-41.63358855759694,1,1.0858276165627276,-0.0004060617358963172,-1.8392223896095878,-0.027164821925374102,-0.0392171547904328,-0.0021349523430593195,7.850413331298806,-0.029214495301360024
CHD,0.0008005723137294196,0.013930327651182349,0.00141581354067505,0.5677290836653387,-16.479815556438272,70,0.3806198859044405,0.0006463806087790454,-2.0961048740150954,-0.019941432053366574,-0.033947880377082636,0.01873559512781716,0.24239412872686808,0.0269735485713582
CHRW,-0.00014656708405315984,0.015786937489424436,0.0009517720427325001,0.545816733067729,-25.534040480266018,101,0.7881324426328555,-0.0004658448978423558,-1.909589311052137,-0.024185785923701835,-0.03963881638008733,0.006675304534803531,-1.7004322416935032,-0.03920951323791767
CHTR,0.0008043675380269322,0.017267508619351585,0.0002604128519203,0.5039840637450199,-32.6348365045361,333,0.8590275921115432,0.0004563696169189742,-1.6907842993200368,-0.023977146576803138,-0.03570834707281665,0.004577170157761663,0.3706848422187295,0.026085507242309902
CI,0.00018266812172594403,0.01804265709096075,0.0007179461814318,0.5199203187250996,-35.686497786186735,3,0.871633271292714,-0.00017043644576856176,-1.6526020379344424,-0.028759354998342097,-0.04323351181251526,0.0042041064287130885,1.7821252653508877,-0.013812173645297377
CINF,0.0007989761809931977,0.012181723339480694,0.0013842437740512,0.5637450199203188,-14.423945293570906,153,0.7313353675052764,0.0005027072487008414,-2.3971176331321637,-0.018741313951576927,-0.02804077484509119,0.008356207907134063,0.18573067264055532,0.03801071568213105
CL,-0.00010549523767528408,0.011720931508691353,0.0004576334612116,0.5179282868525896,-25.31612765404442,4,0.506747483705974,-0.0003107820904792734,-2.568524115626077,-0.019963458024010415,-0.02901360957039088,0.015002862341624769,-1.3022411102034026,-0.04376928501510064
CLX,0.00021068531708854418,0.013857729852608152,0.0010257650951897498,0.5338645418326693,-21.60611776984098,152,0.4280350967274939,3.7285387691317085e-05,-2.149653298177467,-0.020662588001485994,-0.03582681869061119,0.017332347027572408,0.9114858088908037,-0.013593752226594806
CMA,-0.0002449701831994876,0.016046202150351557,0.0011712191797619,0.5378486055776892,-42.471382679041994,8,1.0307744125190188,-0.0006625439095639344,-1.884867827278173,-0.02874468824907226,-0.038765340046521816,-0.0005056586492061151,-1.0510691549765943,-0.05087167121349354
CMCSA,0.0002945859690750416,0.015077535840526157,0.00022901235448475,0.5039840637450199,-28.84391961326648,314,0.889581792284302,-6.578966636814558e-05,-1.9701769801853997,-0.020404910005776388,-0.0349761072308135,0.0036729218669141264,0.7717003214244775,-0.008787759046163393
