,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
ALB,0.18095154518011816,0.17152128271883005,0.11952166266719289,-0.017552632278014364,-0.017552632278014364,0.3220129479271993,0.04784390101253057,0.45866605709886366,0.5345887958785658,0.973808687454905,0.9551768156309457,0.17304623090194482,0.07391980487678335,-0.6208788810754097,-0.057609282721679506,-0.7477343590840203,-0.012081303668656231,0.3854083893121635,0.5605067226024579,0.5621296180225951,-0.10247396943952522,-0.1528159925931091,-1.2892780943414714
ALGN,4.407179140731714,2.854482492400971,3.6552668640629276,2.7319091450255155,2.7319091450255155,2.741170815895926,1.99297916712623,2.7005812826204028,1.3444085035555937,1.559862189132258,1.6839770621839545,0.9376062859371679,0.786305210156546,-0.7512652445338454,2.618198711762451,3.1514776522495835,2.5562105371702715,1.924821184698186,2.7617104235642156,2.5557266465651125,2.655753673733439,2.6794283214152563,1.380693102296804
ALK,0.6145692137717993,0.6478032025059358,0.16070091731158728,0.2808823707311313,0.2808823707311313,0.5846755086305562,0.6902902905697154,0.5125680896534952,-0.027255377251039502,0.9092748486924684,1.0139312465573538,0.7547846300767712,0.9087637577040424,0.396134753900388,0.5463318851961803,0.4796514546122868,0.4226858553153871,0.39814033499237045,1.154850139065444,1.0128451015177227,1.4230429660327513,1.5038203663654337,0.2161311973801095
ALL,-0.5526449948761573,-0.4228534974999472,-0.6107580264251935,-0.42560458368050447,-0.42560458368050447,-0.7027120455658682,-0.19628656076614562,-0.7558844366671549,-0.41456230362567736,-0.9406134469662977,-1.0322663045506721,-0.3757228233751478,-0.345957478813128,1.699998388484744,-0.573046351282263,-0.26423598039165497,-0.6049542044265355,-0.5312817631806771,-0.7585553762664629,-0.7896223826124088,-0.8083099947271859,-0.8213824334717077,0.3581509418821454
AMAT,-0.3122404521496703,-0.34852947831142905,-0.2215305947457749,-0.045861404472053446,-0.045861404472053446,0.15216203435678485,0.019307634819095462,0.3495020076343727,-0.11469221332791159,-0.5289914853649283,-0.530758395916562,0.3683424646825249,0.4686872701772614,-0.30795160877516425,0.29626719782628863,-0.33833889881765106,0.3307028747894345,-0.02623190908914798,-0.25069746888830136,-0.25318063577472844,-0.22292020576611019,-0.23945975984838197,-0.8632188608353636
AMD,1.6692157883283314,1.9599559930585786,1.004140293072509,0.8041157767806616,0.8041157767806616,3.1023931234382456,1.9408706657414623,4.246600931194178,8.039921776969576,3.0738437384372133,2.927682877738536,4.504517996699667,3.3846550792999617,-1.2467334256759006,2.289874211623256,0.2700983531562955,2.0997178686144586,1.9344827574216936,3.9433347303997195,3.960471100283959,1.3226975089252881,1.2295596746352588,-1.3176820432418785
AME,-0.30039073985786335,-0.14442886762288912,-0.4494125709044572,-0.46945514889317425,-0.46945514889317425,-0.5239632578435088,-0.39385495874297527,-0.5015307935148944,-0.06152199249670509,-0.15969026165033376,-0.1028540165577787,0.022061333562926853,0.041655603128025416,0.31790293582532664,-0.6096502300531129,-0.6182871373629649,-0.9435713934585843,-1.1434916080538338,0.586148527352543,0.6178927672529212,-0.4894001653903013,-0.4089459138403475,-0.40875567842884863
AMGN,0.1540651720880448,0.23549716366861662,0.01945807291262595,-0.1245810215626792,-0.1245810215626792,0.14558615867236532,0.23181451896982025,0.3335422554897463,-0.18990267506113512,0.36338713448813686,0.1876371788174095,-0.1342450809543827,-0.11322521716272024,0.2918256631336395,-0.3737464575126148,-0.6353095239940091,-0.34227511705141894,-0.10665945096730238,0.13966137849497678,0.03781732970503947,1.1731314318061037,1.2864847557995207,-0.7496030652337349
AMP,0.10182826011894505,0.06147695065152872,-0.44876903457615314,-0.4038026529654905,-0.4038026529654905,0.1555120650166129,0.15552142899414398,0.08012714494697314,-0.3176930498626558,-0.30751413628836516,-0.3881639945588473,-0.36322132246691835,-0.3550952878958578,0.05713020890845541,-0.30855478004143566,-0.34032016945605875,-0.004131615122791674,0.5739017979197957,0.18600255592552997,0.18332611088069717,0.32330156471249477,0.28966900919992367,-0.20992803612599834
AMT,-1.1250386330263367,-1.0659542372939017,-0.6914214343509922,-0.6612054107822034,-0.6612054107822034,-0.886440263496292,-0.9925952268566267,-0.6471018398912382,-0.1834893313996959,-0.7920409143730317,-0.8099273908716371,-0.07594484606210197,-0.045148842582360495,-0.7251879718421582,-0.49702783235192194,-0.7530520000512628,-0.2620992595428354,-0.0023942886259717333,-0.3150282676428404,-0.41487103114684026,-0.6146351259222422,-0.6677576541071117,-0.8632188608353636
AMZN,1.0512970666983874,1.3391254404293607,0.8115341135083909,0.8029440311859352,0.8029440311859352,0.7833045631346682,1.4399287120933348,0.7119085367706426,0.188067508508418,0.9212158138967056,0.9571389941141402,-0.2644139563377156,-0.3627276145276118,1.673921115793057,1.2595844720713383,3.105239977627718,1.3475402919980837,1.606048903714794,1.4692661694623323,1.5257849232891612,1.197702091103452,1.129024583470612,2.971314240719607
