,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
GPN,0.0003311959493357955,0.022930851549397183,0.0015627306621022,0.5338912133891214,-51.20415951628403,215,1.2769683052463192,-9.359705043418163e-05,0.009251655126333655,-0.03255038171629443,-0.05274302351275738,0.0003918205824787487,1.5876521250788749,-9.518554112302081e-05
GPS,-0.000461097351635107,0.03801248867927834,-0.0006325255291851,0.4845188284518828,-84.49830870642283,829,1.4243066257294066,-0.0009349035390323276,-0.015261957078831809,-0.05217975467687736,-0.08758387003609962,0.0004232934938580056,-3.133718488011911,-0.023941866795865217
GRMN,0.0004055000636496955,0.017659477703952882,0.0007450644689832,0.5205020920502093,-54.978139163436815,142,0.9003428195231057,0.00010599433155338852,0.01622088996085978,-0.02516498005025361,-0.04033538624181396,0.00031136968215308015,0.7690680735523064,0.005715426339251277
GS,0.0003351028929233823,0.02103621799141807,-0.0002175926899481,0.497071129707113,-50.629161310257054,710,1.1788816643848714,-5.706085658430457e-05,0.01027063296092031,-0.02988543926499907,-0.047113677991233886,0.00037086831327139266,1.3205569892935518,0.00017783405826813324
GWW,0.0008135197998397613,0.02017859354042197,0.0010922789868799,0.5305439330543933,-43.25070866670245,511,0.9247532050811597,0.0005058937715198553,0.034416282750379425,-0.02757501784697737,-0.04303016083285321,0.00031658398009595855,0.5005110353180838,0.030499941982427784
HAL,5.901740958555923e-05,0.0353377102822432,-0.0006763766645278,0.48535564853556484,-91.88808730427431,5,1.453225103699349,-0.0004244087244894016,-0.0016987577571550899,-0.04823059621207349,-0.07889102743933112,0.0004294707645869431,21.15907453005715,-0.009160441206464696
HAS,-2.2414984529550935e-06,0.02272911853826332,0.0006806840781512,0.5188284518828452,-64.51971154873185,202,0.9462406828168151,-0.0003170154959803342,-0.005336287779765417,-0.029883578523587705,-0.05213182200446246,0.00032117391623966303,-230.47654966941667,-0.017903702776381387
HCA,0.0009070072058117842,0.02462832054220708,0.0008243934019225,0.5188284518828452,-54.89274345745543,263,1.0571054104083737,0.0005553532324785724,0.03199404463709939,-0.03225900453800771,-0.05651059171451223,0.0003448557101893579,0.668742396800282,0.02877458590733536
HD,0.00048635245252292094,0.01803763311467704,0.000992097583587,0.5338912133891214,-38.40580063764216,207,1.0023592823128549,0.00015291018568543212,0.020363250052825927,-0.02559649309512427,-0.04377337656533981,0.0003331613998954823,0.6689720730139841,0.013089525065613023
HES,0.0012252216347848656,0.03249829986898742,0.0010758718450514,0.5205020920502093,-61.24145157957792,609,1.2991028311509294,0.0007930654204238325,0.03403790414257485,-0.0445708644044589,-0.0690584474574805,0.0003965487344621129,0.861998730997003,0.03243301663095275
