,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
MNST,0.00019079208305250212,0.018021038319385584,0.00146897161471255,0.5418326693227091,-30.416487861391083,4,0.9508982670617028,-0.00019442327342892766,0.003981150405063295,-0.027769211688411455,-0.04461755095235994,0.00039106080087884614,1.702155649820107,-0.013704291535399812
MO,-0.0005723936923212286,0.015588466318744167,0.00084777810940415,0.5179282868525896,-43.93515888673044,10,0.5617349757331394,-0.0007999563521983733,-0.04435595505232175,-0.029014152517656322,-0.03956462804166404,0.0002797370675279615,-0.42453347308070793,-0.06420689206213648
MOS,-0.00015942037323925451,0.022615105413325752,0.0005287158996465,0.5059760956175299,-52.2573694347986,70,1.2755248874401761,-0.0006761441819117544,-0.01231336255999889,-0.038114837691263066,-0.05107581927793569,0.0004839232268343837,-3.2081407317261363,-0.029211383077639944
MPC,-1.3595860598465781e-05,0.02017562396401316,0.0005795143443259501,0.5139442231075697,-48.33892651530308,83,1.228282928703721,-0.0005111816304229428,-0.006574442499655934,-0.0313789696071814,-0.04389856143055707,0.00047040923069308164,-29.939686376542884,-0.025127845451979488
MPWR,0.0010760573255599812,0.021314549389894685,0.00220914394381625,0.5537848605577689,-31.1864217142902,151,1.631990623235714,0.00041492682245506513,0.04489936376351847,-0.0345726329056087,-0.04916145807310597,0.0005858935241482835,0.4221987108891588,0.04214635375079601
MRK,0.0010325401505523687,0.012166087218086595,0.00115588255207385,0.549800796812749,-14.177540181072612,99,0.6777855296792111,0.0007579646218366455,0.07508515393073255,-0.020403047880264855,-0.026982383973708276,0.00031293439423010284,0.1433490776304519,0.05814039975858949
MRO,-0.00015252067423777893,0.02608899452403942,0.0006964483878111999,0.5059760956175299,-53.77240409172763,68,1.5338023571968125,-0.0007738744428436988,-0.010409304698774968,-0.04159854805953931,-0.056548509797325626,0.0005578058689396327,-4.4625795071837375,-0.025021385123575754
MS,8.706682088488169e-05,0.01602183883850558,0.00028503143570345,0.5039840637450199,-37.17535491869594,28,1.2881699695859707,-0.0004347795965831743,-0.0019960753871695,-0.02718352296387482,-0.03686519998714162,0.0004875404687078213,2.9483024320647866,-0.029402007631744023
MSCI,0.0015378805871120648,0.01638068261471921,0.0020758476463046,0.5717131474103586,-25.86840832731484,120,1.2305531225256263,0.0010393751463273183,0.08661622970397603,-0.02661582045774699,-0.03822688844806655,0.00047105864048407664,0.17447828210644503,0.09615050785846793
MSFT,0.0013281342134584104,0.015407251258874707,0.0017358675707446,0.5677290836653387,-18.579710443328402,112,1.396592711459428,0.0007623650057106581,0.07847516562789532,-0.02774264989541914,-0.03533177743786397,0.000518555789716868,0.1787344900452184,0.1041401400671768
MSI,0.0012531240878073417,0.014561998564746732,0.0015609469576275,0.5577689243027888,-18.551456245571206,44,0.8056555825961923,0.0009267475308176675,0.07787917734762165,-0.023289512444129724,-0.03102224678687832,0.0003495127971567941,0.1692185189502855,0.06751545702003141
MTB,7.993725880279585e-05,0.013903593574257321,0.00068418061098325,0.5278884462151394,-31.0299236944239,14,0.8619409411739776,-0.00026924087982843967,-0.002812967743622521,-0.02320202420978634,-0.034098032220620814,0.00036561374087242866,2.4182704933005326,-0.028617857681305987
